127.0.0.1 - - [03/Mar/2022:09:47:08 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:47:08 +0900] "GET /JSPProject/16table4.html HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [03/Mar/2022:09:47:09 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [03/Mar/2022:10:18:08 +0900] "GET /JSPProject/17div1.html HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [03/Mar/2022:10:18:08 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [03/Mar/2022:10:59:31 +0900] "GET /JSPProject/17div2.html HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [03/Mar/2022:10:59:32 +0900] "GET /img/cute_dog.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [03/Mar/2022:10:59:32 +0900] "GET /img/iphone.png HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:35:10 +0900] "GET /JSPProject/03-03/04id-pw.html HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:35:25 +0900] "GET /JSPProject/03-03/04id-pw.html? HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:38:18 +0900] "GET /JSPProject/03-03/04id-pw.html? HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:38:34 +0900] "GET /JSPProject/03-03/04id-pw.html? HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:47:13 +0900] "GET /JSPProject/03-03/07color_etc.html HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:56:01 +0900] "GET /JSPProject/03-03/07date.html HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:56:07 +0900] "GET /JSPProject/03-03/08date.html HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [03/Mar/2022:12:57:53 +0900] "GET /JSPProject/03-03/09time.html HTTP/1.1" 200 959
