127.0.0.1 - - [02/Mar/2022:16:02:41 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [02/Mar/2022:16:02:41 +0900] "GET /JSPProject/02hTag.html HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [02/Mar/2022:16:02:41 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [02/Mar/2022:16:04:38 +0900] "GET /JSPProject/02hTag.html HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [02/Mar/2022:16:12:04 +0900] "GET /JSPProject/02hTag.html HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [02/Mar/2022:16:54:05 +0900] "GET /JSPProject/15listTag1.html HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [02/Mar/2022:17:03:10 +0900] "GET /JSPProject/15listTag3.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [02/Mar/2022:17:21:58 +0900] "GET /JSPProject/15listTag3.html HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [02/Mar/2022:17:22:37 +0900] "GET /JSPProject/15listTag1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2022:17:31:28 +0900] "GET /JSPProject/16table.html HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [02/Mar/2022:17:31:34 +0900] "GET /JSPProject/16table1.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [02/Mar/2022:17:50:17 +0900] "GET /JSPProject/16table1.html HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [02/Mar/2022:17:53:32 +0900] "GET /JSPProject/16table1.html HTTP/1.1" 200 568
