0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:53:00 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:53:00 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:57:53 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:57:54 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:57:54 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:57:54 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:00 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:05 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:05 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:06 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:16 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:27 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:27 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:27 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:33 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:33 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:33 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:43 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:43 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:44 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:45 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:45 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:59:45 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:00:49 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:00:50 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:00:50 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:00:50 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:03 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:05 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:05 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:06 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:06 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:06 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:06 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:27 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:27 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:27 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:27 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:28 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:28 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:38 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:38 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:38 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:38 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:39 +0900] "GET /favicon.ico HTTP/1.1" 404 815
